epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,778.229,0.41716,0.30435,0.17381,0.29769,0.96816,0.99933,1,0.995,0.97038,0.99933,1,0.995,0.97298,0.26751,0.17156,0.07382,0.18963,0.78603,0.00068,0.00068,0.00068
42,796.719,0.41164,0.31505,0.17827,0.28748,0.96572,0.99932,1,0.995,0.9754,0.99932,1,0.995,0.97661,0.26784,0.17476,0.07624,0.18634,0.78947,0.000647,0.000647,0.000647
43,814.515,0.42332,0.26998,0.16013,0.29561,0.97009,0.99932,1,0.995,0.96196,0.99932,1,0.995,0.98145,0.27778,0.14651,0.06947,0.18887,0.79119,0.000614,0.000614,0.000614
44,832.964,0.41396,0.26297,0.16022,0.29284,0.95837,0.99932,1,0.995,0.9661,0.99932,1,0.995,0.98031,0.27458,0.15756,0.06483,0.18817,0.78799,0.000581,0.000581,0.000581
45,851.375,0.40251,0.25861,0.16307,0.28198,0.95257,0.99933,1,0.995,0.96957,0.99933,1,0.995,0.97884,0.26656,0.14702,0.06283,0.18901,0.78299,0.000548,0.000548,0.000548
46,869.214,0.37508,0.23615,0.16421,0.26802,0.93957,0.99907,1,0.995,0.96323,0.99907,1,0.995,0.97858,0.28193,0.13757,0.06379,0.18397,0.7984,0.000515,0.000515,0.000515
47,888.526,0.39642,0.26357,0.16116,0.28381,0.96506,0.99888,1,0.995,0.966,0.99888,1,0.995,0.98353,0.29184,0.14593,0.06381,0.1947,0.81434,0.000482,0.000482,0.000482
48,906.601,0.40043,0.25813,0.1602,0.27418,0.95598,0.99935,1,0.995,0.96587,0.99935,1,0.995,0.98399,0.28121,0.13437,0.05954,0.19965,0.80209,0.000449,0.000449,0.000449
49,924.526,0.3797,0.23172,0.1611,0.26724,0.94346,0.99934,1,0.995,0.96952,0.99934,1,0.995,0.97907,0.27439,0.13695,0.06319,0.18781,0.79076,0.000416,0.000416,0.000416
50,944.011,0.37319,0.23298,0.1653,0.26459,0.94445,0.99935,1,0.995,0.97365,0.99935,1,0.995,0.97865,0.25106,0.13355,0.0628,0.17075,0.77339,0.000383,0.000383,0.000383
51,963.101,0.25369,0.14199,0.08696,0.17732,0.86203,0.99708,1,0.995,0.97487,0.99708,1,0.995,0.98088,0.25708,0.12721,0.0579,0.17664,0.78062,0.00035,0.00035,0.00035
52,979.64,0.242,0.12225,0.07813,0.16987,0.85513,0.99525,1,0.995,0.97101,0.99525,1,0.995,0.98604,0.25538,0.11211,0.0501,0.18082,0.78967,0.000317,0.000317,0.000317
53,996.42,0.23962,0.12181,0.08143,0.17468,0.8491,0.99929,1,0.995,0.97806,0.99929,1,0.995,0.97988,0.24561,0.10863,0.05706,0.17036,0.77131,0.000284,0.000284,0.000284
54,1013.88,0.23701,0.13344,0.07981,0.16696,0.85515,0.99927,1,0.995,0.97251,0.99927,1,0.995,0.98161,0.24227,0.11062,0.05661,0.16322,0.76497,0.000251,0.000251,0.000251
55,1030.15,0.23354,0.12181,0.06896,0.16783,0.85798,0.99915,1,0.995,0.98273,0.99915,1,0.995,0.98323,0.23402,0.12261,0.0609,0.16174,0.76486,0.000218,0.000218,0.000218
56,1046.43,0.2244,0.11606,0.06981,0.16174,0.84417,0.99927,1,0.995,0.97647,0.99927,1,0.995,0.98218,0.24118,0.10961,0.05266,0.15766,0.76613,0.000185,0.000185,0.000185
57,1062.63,0.22296,0.1129,0.07356,0.15604,0.84853,0.99935,1,0.995,0.98673,0.99935,1,0.995,0.98204,0.22834,0.10579,0.05092,0.1508,0.7592,0.000152,0.000152,0.000152
58,1079.81,0.20612,0.10085,0.06787,0.14436,0.82884,0.99931,1,0.995,0.97807,0.99931,1,0.995,0.98321,0.22745,0.10393,0.05326,0.15071,0.75647,0.000119,0.000119,0.000119
59,1096.63,0.21332,0.10785,0.06544,0.14621,0.84708,0.99935,1,0.995,0.98349,0.99935,1,0.995,0.98321,0.22538,0.10023,0.05272,0.1473,0.75482,8.6e-05,8.6e-05,8.6e-05
60,1113.08,0.20516,0.09824,0.06874,0.14197,0.82894,0.99935,1,0.995,0.9798,0.99935,1,0.995,0.98326,0.22408,0.09922,0.0523,0.14379,0.75425,5.3e-05,5.3e-05,5.3e-05
